gene_tissue_id,gene_id,label,value,unit,sample,platform
3411,34,Gallbladder," 3.4",TPM,"  3",HPA
3412,34,Pancreas," 0.8",TPM,"  2",HPA
3413,34,"Salivary gland"," 2.1",TPM,"  3",HPA
3414,34,Esophagus," 2.9",TPM,"  3",HPA
3415,34,Stomach," 4.6",TPM,"  4",HPA
3416,34,Duodenum," 5.4",TPM,"  2",HPA
3417,34,"Small intestine"," 6.7",TPM,"  4",HPA
3418,34,Colon," 3.7",TPM," 13",HPA
3419,34,Rectum," 4.6",TPM,"  4",HPA
3420,34,Kidney," 4.0",TPM,"  9",HPA
3421,34,"Urinary bladder"," 4.5",TPM,"  2",HPA
3422,34,Testis," 4.1",TPM," 10",HPA
3423,34,Prostate," 4.7",TPM,"  9",HPA
3424,34,Epididymis," 1.7",TPM,"  1",HPA
3425,34,"Seminal vesicle"," 3.0",TPM,"  3",HPA
3426,34,"Fallopian tube",10.2,TPM,"  5",HPA
3427,34,Breast," 4.7",TPM,"  4",HPA
3428,34,"Cervix, uterine"," 4.1",TPM,"  2",HPA
3429,34,Endometrium," 2.7",TPM,"  5",HPA
3430,34,Ovary," 7.3",TPM,"  3",HPA
3431,34,Placenta," 7.6",TPM,"  8",HPA
3432,34,"Adipose tissue",12.6,TPM,"  5",HPA
3433,34,Skin," 2.4",TPM,"  3",HPA
3434,34,"Pituitary gland"," 9.2",RPKM,103,GTEx
3435,34,Hypothalamus," 6.0",RPKM," 96",GTEx
3436,34,"Cerebral cortex"," 4.3",RPKM,222,GTEx
3437,34,Hippocampus," 5.1",RPKM," 94",GTEx
3438,34,Caudate," 5.4",RPKM,117,GTEx
3439,34,Cerebellum,12.5,RPKM,230,GTEx
3440,34,"Thyroid gland",10.3,RPKM,323,GTEx
3441,34,"Adrenal gland",12.8,RPKM,145,GTEx
3442,34,Spleen,32.0,RPKM,104,GTEx
3443,34,"Heart muscle"," 6.6",RPKM,412,GTEx
3444,34,"Skeletal muscle"," 4.9",RPKM,430,GTEx
3445,34,Lung,15.1,RPKM,320,GTEx
3446,34,Liver," 4.8",RPKM,119,GTEx
3447,34,Pancreas," 7.6",RPKM,171,GTEx
3448,34,"Salivary gland",12.9,RPKM," 57",GTEx
3449,34,Esophagus," 8.4",RPKM,286,GTEx
3450,34,Stomach,11.5,RPKM,193,GTEx
3451,34,"Small intestine",20.3,RPKM," 88",GTEx
3452,34,Colon,12.3,RPKM,345,GTEx
3453,34,Kidney,10.6,RPKM," 32",GTEx
3454,34,"Urinary bladder",14.1,RPKM," 11",GTEx
3455,34,Testis," 6.5",RPKM,172,GTEx
3456,34,Prostate,10.7,RPKM,106,GTEx
3457,34,"Fallopian tube",10.4,RPKM,"  6",GTEx
3458,34,Breast,16.5,RPKM,214,GTEx
3459,34,Vagina,10.8,RPKM," 96",GTEx
3460,34,"Cervix, uterine",10.7,RPKM," 11",GTEx
3461,34,Endometrium," 9.2",RPKM," 14",GTEx
3462,34,Ovary,11.7,RPKM," 97",GTEx
3463,34,"Adipose tissue",18.0,RPKM,577,GTEx
3464,34,Skin," 9.5",RPKM,607,GTEx
3465,34,Brain,22.0,"Tags Per Million","  1",FANTOM5
3466,34,"Pituitary gland",72.9,"Tags Per Million","  1",FANTOM5
3467,34,Hippocampus,27.9,"Tags Per Million","  2",FANTOM5
3468,34,Caudate,29.6,"Tags Per Million","  1",FANTOM5
3469,34,Cerebellum,62.7,"Tags Per Million","  2",FANTOM5
3470,34,Retina,41.1,"Tags Per Million","  1",FANTOM5
3471,34,"Thyroid gland",43.3,"Tags Per Million","  1",FANTOM5
3472,34,Appendix,72.1,"Tags Per Million","  1",FANTOM5
3473,34,"Lymph node",57.2,"Tags Per Million","  1",FANTOM5
3474,34,Tonsil,67.3,"Tags Per Million","  1",FANTOM5
3475,34,Spleen,80.1,"Tags Per Million","  1",FANTOM5
3476,34,Thymus,57.0,"Tags Per Million","  1",FANTOM5
3477,34,"Heart muscle",22.8,"Tags Per Million","  2",FANTOM5
3478,34,"Skeletal muscle",18.5,"Tags Per Million","  2",FANTOM5
3479,34,"Smooth muscle",31.5,"Tags Per Million","  1",FANTOM5
3480,34,Lung,44.4,"Tags Per Million","  2",FANTOM5
3481,34,Liver,24.9,"Tags Per Million","  1",FANTOM5
3482,34,Gallbladder,33.0,"Tags Per Million","  1",FANTOM5
3483,34,Pancreas,28.2,"Tags Per Million","  1",FANTOM5
3484,34,"Salivary gland",48.6,"Tags Per Million","  1",FANTOM5
3485,34,Esophagus,33.2,"Tags Per Million","  1",FANTOM5
3486,34,"Small intestine",67.9,"Tags Per Million","  1",FANTOM5
3487,34,Colon,48.7,"Tags Per Million","  1",FANTOM5
3488,34,Kidney,47.1,"Tags Per Million","  1",FANTOM5
3489,34,"Urinary bladder",54.5,"Tags Per Million","  1",FANTOM5
3490,34,Testis,30.5,"Tags Per Million","  2",FANTOM5
3491,34,Prostate,37.5,"Tags Per Million","  1",FANTOM5
3492,34,Epididymis,42.0,"Tags Per Million","  1",FANTOM5
3493,34,"Seminal vesicle",28.0,"Tags Per Million","  1",FANTOM5
3494,34,Breast,47.9,"Tags Per Million","  1",FANTOM5
3495,34,Vagina,23.9,"Tags Per Million","  1",FANTOM5
3496,34,"Cervix, uterine",36.3,"Tags Per Million","  1",FANTOM5
3497,34,Endometrium,40.7,"Tags Per Million","  1",FANTOM5
3498,34,Ovary,25.4,"Tags Per Million","  1",FANTOM5
3499,34,Placenta,46.1,"Tags Per Million","  1",FANTOM5
3500,34,"Adipose tissue",68.5,"Tags Per Million","  1",FANTOM5
3501,35,"Cerebral cortex"," 6.4",TPM,"  3",HPA
3502,35,"Thyroid gland",10.8,TPM,"  5",HPA
3503,35,"Parathyroid gland",12.3,TPM,"  1",HPA
3504,35,"Adrenal gland"," 5.9",TPM,"  3",HPA
3505,35,Appendix," 6.0",TPM,"  3",HPA
3506,35,"Bone marrow"," 8.7",TPM,"  4",HPA
3507,35,"Lymph node"," 6.6",TPM,"  5",HPA
3508,35,Tonsil," 5.4",TPM,"  5",HPA
3509,35,Spleen," 8.8",TPM,"  5",HPA
3510,35,"Heart muscle"," 3.7",TPM,"  4",HPA
3511,35,"Skeletal muscle"," 2.8",TPM,"  5",HPA
3512,35,"Smooth muscle"," 6.1",TPM,"  3",HPA
3513,35,Lung," 7.7",TPM,"  9",HPA
3514,35,Liver," 2.1",TPM," 10",HPA
3515,35,Gallbladder," 5.1",TPM,"  3",HPA
3516,35,Pancreas," 0.7",TPM,"  2",HPA
3517,35,"Salivary gland"," 1.6",TPM,"  3",HPA
3518,35,Esophagus," 3.8",TPM,"  3",HPA
3519,35,Stomach," 3.3",TPM,"  4",HPA
3520,35,Duodenum," 3.2",TPM,"  2",HPA
3521,35,"Small intestine"," 3.8",TPM,"  4",HPA
3522,35,Colon," 3.6",TPM," 13",HPA
3523,35,Rectum," 4.5",TPM,"  4",HPA
3524,35,Kidney," 6.0",TPM,"  9",HPA
3525,35,"Urinary bladder"," 4.4",TPM,"  2",HPA
3526,35,Testis," 6.8",TPM," 10",HPA
3527,35,Prostate," 6.7",TPM,"  9",HPA
3528,35,Epididymis," 7.1",TPM,"  1",HPA
3529,35,"Seminal vesicle"," 5.2",TPM,"  3",HPA
3530,35,"Fallopian tube"," 6.4",TPM,"  5",HPA
3531,35,Breast," 8.6",TPM,"  4",HPA
3532,35,"Cervix, uterine"," 6.1",TPM,"  2",HPA
3533,35,Endometrium," 8.2",TPM,"  5",HPA
3534,35,Ovary," 8.1",TPM,"  3",HPA
3535,35,Placenta," 6.5",TPM,"  8",HPA
3536,35,"Adipose tissue"," 4.0",TPM,"  5",HPA
3537,35,Skin,12.0,TPM,"  3",HPA
3538,35,"Pituitary gland"," 4.2",RPKM,103,GTEx
3539,35,Hypothalamus," 1.9",RPKM," 96",GTEx
3540,35,"Cerebral cortex"," 2.0",RPKM,222,GTEx
3541,35,Hippocampus," 1.5",RPKM," 94",GTEx
3542,35,Caudate," 1.8",RPKM,117,GTEx
3543,35,Cerebellum," 4.2",RPKM,230,GTEx
3544,35,"Thyroid gland"," 6.0",RPKM,323,GTEx
3545,35,"Adrenal gland"," 3.5",RPKM,145,GTEx
3546,35,Spleen," 4.7",RPKM,104,GTEx
3547,35,"Heart muscle"," 2.5",RPKM,412,GTEx
3548,35,"Skeletal muscle"," 2.5",RPKM,430,GTEx
3549,35,Lung," 5.0",RPKM,320,GTEx
3550,35,Liver," 1.4",RPKM,119,GTEx
3551,35,Pancreas," 2.0",RPKM,171,GTEx
3552,35,"Salivary gland"," 3.2",RPKM," 57",GTEx
3553,35,Esophagus," 3.3",RPKM,286,GTEx
3554,35,Stomach," 2.7",RPKM,193,GTEx
3555,35,"Small intestine"," 3.2",RPKM," 88",GTEx
3556,35,Colon," 2.8",RPKM,345,GTEx
3557,35,Kidney," 2.8",RPKM," 32",GTEx
3558,35,"Urinary bladder"," 3.4",RPKM," 11",GTEx
3559,35,Testis," 3.5",RPKM,172,GTEx
3560,35,Prostate," 3.4",RPKM,106,GTEx
3561,35,"Fallopian tube"," 3.3",RPKM,"  6",GTEx
3562,35,Breast," 3.8",RPKM,214,GTEx
3563,35,Vagina," 3.9",RPKM," 96",GTEx
3564,35,"Cervix, uterine"," 3.8",RPKM," 11",GTEx
3565,35,Endometrium," 3.6",RPKM," 14",GTEx
3566,35,Ovary," 5.3",RPKM," 97",GTEx
3567,35,"Adipose tissue"," 3.4",RPKM,577,GTEx
3568,35,Skin," 4.6",RPKM,607,GTEx
3569,35,Brain,20.8,"Tags Per Million","  1",FANTOM5
3570,35,"Pituitary gland",87.0,"Tags Per Million","  1",FANTOM5
3571,35,Hippocampus,43.4,"Tags Per Million","  2",FANTOM5
3572,35,Caudate,47.8,"Tags Per Million","  1",FANTOM5
3573,35,Cerebellum,55.8,"Tags Per Million","  2",FANTOM5
3574,35,Retina,40.3,"Tags Per Million","  1",FANTOM5
3575,35,"Thyroid gland",30.4,"Tags Per Million","  1",FANTOM5
3576,35,Appendix,36.0,"Tags Per Million","  1",FANTOM5
3577,35,"Lymph node",26.5,"Tags Per Million","  1",FANTOM5
3578,35,Tonsil,40.6,"Tags Per Million","  1",FANTOM5
3579,35,Spleen,19.0,"Tags Per Million","  1",FANTOM5
